subject,exam_type,year,question_number,topic,question_text,answer_text,explanation,source_file
Computing,Textbook Exercise,N/A,13,Web Technologies and Databases,5. Sitemap - A sitemap is a visual or structured map that outlines the organisation and hierarchy of a website’s pages,N/A,N/A,Computing-Section-5_LV.pdf (Page 2)
Computing,Textbook Exercise,N/A,14,Web Technologies and Databases,6. User experience (UX) - Refers to how users interact with and feel about a website,N/A,N/A,Computing-Section-5_LV.pdf (Page 2)
Computing,Textbook Exercise,N/A,15,Web Technologies and Databases,7. User interface (UI) - Refers to the visual elements of software or a website that users interact with,N/A,N/A,Computing-Section-5_LV.pdf (Page 2)
Computing,Textbook Exercise,N/A,1,Web Development,Do this activity individually. 1. Click on these two links and explore the similarities and differences on the landing page (the first page that opens when you click the link).,N/A,N/A,Computing-Section-5_LV.pdf (Page 3)
Computing,Textbook Exercise,N/A,2,Web Development,List 5 things they have in common.,N/A,N/A,Computing-Section-5_LV.pdf (Page 3)
Computing,Textbook Exercise,N/A,3,Web Development,What are the key differences between them?,N/A,N/A,Computing-Section-5_LV.pdf (Page 3)
Computing,Textbook Exercise,N/A,4,Web Development,Share your finding with the class and discuss.,N/A,N/A,Computing-Section-5_LV.pdf (Page 3)
Computing,Textbook Exercise,N/A,5,Web Development,What is the difference between link 1 and link 2?,"Link 1 is just a design, without any functionality, while link 2 has functionality which makes the website respond to what you clicked on.",This is based on the activity completed in the text.,Computing-Section-5_LV.pdf (Page 3)
Computing,Textbook Exercise,N/A,1,Use of Web Page Editors,What is a database?,A place to store and organise information.,A database is a collection of related data that is stored in a way that allows for efficient retrieval and manipulation of the data.,YEAR 2 LM Computing Section 6.pdf (Page 1)
Computing,Textbook Exercise,N/A,2,Use of Web Page Editors,What is a key in a database?,A unique identifier in a database that ensures no two records are the same.,A key is a unique identifier that distinguishes one record from another in a database.,YEAR 2 LM Computing Section 6.pdf (Page 1)
Computing,Textbook Exercise,N/A,3,Use of Web Page Editors,What are queries?,Statements used to get information from a database.,Queries are used to retrieve specific data from a database.,YEAR 2 LM Computing Section 6.pdf (Page 1)
Computing,Textbook Exercise,N/A,4,Use of Web Page Editors,What is SQL?,A special language used to query a database.,SQL is a language used to manage and manipulate data in a database.,YEAR 2 LM Computing Section 6.pdf (Page 1)
Computing,Textbook Exercise,N/A,5,Use of Web Page Editors,What are relations?,Connections between tables in a database.,Relations are the connections between tables in a database.,YEAR 2 LM Computing Section 6.pdf (Page 1)
Computing,Textbook Exercise,N/A,6,Use of Web Page Editors,What is an entity?,An object or thing in a database.,An entity is an object or thing that is represented in a database.,YEAR 2 LM Computing Section 6.pdf (Page 1)
Computing,Textbook Exercise,N/A,7,Use of Web Page Editors,What are attributes?,A characteristic of an entity.,Attributes are the characteristics or properties of an entity.,YEAR 2 LM Computing Section 6.pdf (Page 1)
Computing,Textbook Exercise,N/A,8,Use of Web Page Editors,What are editors?,"Software used to write code, create and manage websites.","Editors are software tools used to write code, create, and manage websites.",YEAR 2 LM Computing Section 6.pdf (Page 1)
Computing,Textbook Exercise,N/A,9,Use of Web Page Editors,What is HTML?,The basic code used to structure and design web pages.,HTML is the basic code used to structure and design web pages.,YEAR 2 LM Computing Section 6.pdf (Page 1)
Computing,Textbook Exercise,N/A,10,Use of Web Page Editors,What is CSS?,A language used to style web pages.,CSS is a language used to style and layout web pages.,YEAR 2 LM Computing Section 6.pdf (Page 1)
Computer Studies,Textbook Exercise,N/A,1,Introduction to Web Development,"To start with web development, familiarise yourself with this simple website in activity 6.1.",N/A,N/A,YEAR 2 LM Computing Section 6.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,2,Introduction to Web Development,"1. Individually, observe and make notes on Ghana government’s website by visting https://www.ghana.gov.gh/ or clicking here.",N/A,N/A,YEAR 2 LM Computing Section 6.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,3,Introduction to Web Development,2. Share with the class what you have observed.,N/A,N/A,YEAR 2 LM Computing Section 6.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,4,Introduction to Web Development,"Web development is the process of making websites and web applications that people can use on the internet. It includes writing code, designing how the website looks and arranging the content to create pages that work well and are easy to use.",N/A,N/A,YEAR 2 LM Computing Section 6.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,5,Importance of Web Development,Web development has improved our daily lives due to the following reasons:,N/A,N/A,YEAR 2 LM Computing Section 6.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,6,Importance of Web Development,"1. Accessibility: Websites provide a platform for sharing information and services with people across the globe. The Ghana Education Service (GES) website allows students, teachers, parents and the public to access official updates and resources.",N/A,N/A,YEAR 2 LM Computing Section 6.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,7,Importance of Web Development,"2. Business Presence: Having a website for your business allows the business to connect with a larger audience and showcase your products or services. Jumia Ghana and Melcom online are examples of such businesses, reaching customers beyond its physical locations.",N/A,N/A,YEAR 2 LM Computing Section 6.pdf (Page 2)
Computer Studies,Textbook Exercise,N/A,8,Importance of Web Development,"3. Communication: Blogs, forums and social media on websites and web apps make it easier for people to interact and share ideas. GhanaWeb provides news, forums, and blogs for Ghanaians to stay informed and engage in discussions.",N/A,N/A,YEAR 2 LM Computing Section 6.pdf (Page 2)
Computing,Textbook Exercise,N/A,1,Types of Websites,What are the two types of websites?,Static and Dynamic websites,N/A,YEAR 2 LM Computing Section 6.pdf (Page 3)
Computing,Textbook Exercise,N/A,1a,Characteristics of Static Websites,What is one of the characteristics of a static website?,Content does not change unless manually updated by the developer,N/A,YEAR 2 LM Computing Section 6.pdf (Page 3)
Computing,Textbook Exercise,N/A,1b,Characteristics of Static Websites,What is another characteristic of a static website?,Easier and faster to create and host,N/A,YEAR 2 LM Computing Section 6.pdf (Page 3)
Computing,Textbook Exercise,N/A,1c,Characteristics of Static Websites,What is another characteristic of a static website?,Generally cheaper to develop and maintain,N/A,YEAR 2 LM Computing Section 6.pdf (Page 3)
Computing,Textbook Exercise,N/A,1d,Characteristics of Static Websites,What is another characteristic of a static website?,Suitable for small websites with limited content updates,N/A,YEAR 2 LM Computing Section 6.pdf (Page 3)
Computing,Textbook Exercise,N/A,4.1a,Main Memory & Data Structures,What is RAM?,N/A,N/A,YEAR 2 LM Computing Section 4-5.pdf (Page 1)
Computing,Textbook Exercise,N/A,b,RAM,Why is RAM an important part of a computer?,N/A,N/A,YEAR 2 LM Computing Section 4-5.pdf (Page 2)
Computing,Textbook Exercise,N/A,c,RAM,How does RAM differ from storage devices such as Hard Disk Drive or Solid-State Drive?,N/A,N/A,YEAR 2 LM Computing Section 4-5.pdf (Page 2)
Computing,Textbook Exercise,N/A,d,RAM,"What are the similarities and differences between RAM and your notebook, when we compare RAM with your notebook where you write your notes temporarily?",N/A,N/A,YEAR 2 LM Computing Section 4-5.pdf (Page 2)
Computing,Textbook Exercise,N/A,e,RAM,What unique role does RAM play in a computer system compared to other storage devices?,N/A,N/A,YEAR 2 LM Computing Section 4-5.pdf (Page 2)
Computing,Textbook Exercise,N/A,f,RAM,"Given the choice for you to upgrade RAM or CPU, which would you upgrade? Explain your chosen option, taking functions of RAM into consideration.",N/A,N/A,YEAR 2 LM Computing Section 4-5.pdf (Page 2)
Computing,Textbook Exercise,N/A,1,Features of Memory (RAM),Present your responses to the class for feedback.,N/A,N/A,YEAR 2 LM Computing Section 4-5.pdf (Page 2)
Computing,Textbook Exercise,N/A,1,Features of Memory (RAM),Features of memory (RAM),N/A,N/A,YEAR 2 LM Computing Section 4-5.pdf (Page 2)
Computing,Textbook Exercise,N/A,1,Features of Memory (RAM),"RAM is like the computer's short-term memory. It is where the computer temporarily stores the data and programs it is currently working on. This makes it easy for the processor to quickly access the information it needs. However, once the computer is turned off, everything in the computer's RAM is cleared and disappears. Features of RAM include its capacity, speed and volatility.",N/A,N/A,YEAR 2 LM Computing Section 4-5.pdf (Page 2)
Computing,Textbook Exercise,N/A,1,Features of Memory (RAM),"1. Capacity: RAM is measured in gigabytes (GB), commonly ranging from 2GB to 32GB or more in computers, smartphones, and other devices. The amount of RAM a computer has affects its ability to run multiple programs smoothly. More RAM allows for better performance when handling several tasks at once.",N/A,N/A,YEAR 2 LM Computing Section 4-5.pdf (Page 2)
Computing,Textbook Exercise,N/A,2,Features of Memory (RAM),"2. Speed: RAM speed, measured in megahertz (MHz), determines how quickly data can be read from or written to RAM. Higher speeds improve the computer’s ability to process information rapidly. There are different types of RAM, like DRAM and SRAM, each with varying speeds that impact performance.",N/A,N/A,YEAR 2 LM Computing Section 4-5.pdf (Page 2)
Computing,Textbook Exercise,N/A,3,Features of Memory (RAM),"3. Volatility: RAM is considered to be volatile memory, meaning it only keeps data as long as the computer is on. Once the power is off, all information stored in RAM is lost. This makes it different from permanent storage like hard drives or SSDs, which retain data even when the device is turned off.",N/A,N/A,YEAR 2 LM Computing Section 4-5.pdf (Page 2)
Computing,Textbook Exercise,N/A,1,Types of RAM,The types of RAM include the following:,N/A,N/A,YEAR 2 LM Computing Section 4-5.pdf (Page 2)
Computing,Textbook Exercise,N/A,1,Types of RAM,"1. DDR4 (Double Data Rate 4) is a type of RAM that is commonly used in modern computers. It is faster and more efficient than previous versions like DDR3, which helps improve performance, especially in tasks requiring high-speed data transfer.",N/A,N/A,YEAR 2 LM Computing Section 4-5.pdf (Page 2)
Computing,Textbook Exercise,N/A,2,Types of RAM,"2. DDR5 (Double Data Rate 4/5) is the latest version in the DDR series and is even faster than DDR4. It provides higher data transfer rates and improved energy efficiency, making it the best choice for advanced computing tasks, gaming, and high-performance applications.",N/A,N/A,YEAR 2 LM Computing Section 4-5.pdf (Page 2)
Computing,Textbook Exercise,N/A,3,Types of RAM,3. SDRAM (Synchronous Dynamic RAM) is a type of RAM that operates in sync with the computer’s processor allowing for faster data access compared to older types of RAM.,N/A,N/A,YEAR 2 LM Computing Section 4-5.pdf (Page 2)
Computing,Textbook Exercise,N/A,1a,Features and types of RAM,What is one feature of RAM that you can research on?,"Capacity, Speed or Volatility",RAM has different features that can be researched on.,YEAR 2 LM Computing Section 4-5.pdf (Page 3)
Computing,Textbook Exercise,N/A,1b,Features and types of RAM,What is one type of RAM that you can research on?,"DDR4, DDR5, SDRAM",RAM has different types that can be researched on.,YEAR 2 LM Computing Section 4-5.pdf (Page 3)
Computing,Textbook Exercise,N/A,1c,Features and types of RAM,Which type of RAM is most effective for the following tasks: i) gaming ii) server use iii) everyday computing?,N/A,"This question requires evidence to support the answer, which is not provided.",YEAR 2 LM Computing Section 4-5.pdf (Page 3)
Computing,Textbook Exercise,N/A,2,Features and types of RAM,Present your findings in a presentation format (digital or paper-based) and include pictures and images to make your presentation more interesting.,N/A,"This is an activity question, not a multiple-choice question.",YEAR 2 LM Computing Section 4-5.pdf (Page 3)
Computing,Textbook Exercise,N/A,3,The Future of RAM Technology,Use the internet and find out recent innovations or future developments in RAM technology.,N/A,"This is an activity question, not a multiple-choice question.",YEAR 2 LM Computing Section 4-5.pdf (Page 3)
Computing,Textbook Exercise,N/A,4,The Future of RAM Technology,Identify potential uses for faster or higher capacity RAM and the new types of applications this technology could support.,N/A,"This is an activity question, not a multiple-choice question.",YEAR 2 LM Computing Section 4-5.pdf (Page 3)
Computing,Textbook Exercise,N/A,5,The Future of RAM Technology,Indicate how developments in RAM technology could change how we use computers or devices in the future.,N/A,"This is an activity question, not a multiple-choice question.",YEAR 2 LM Computing Section 4-5.pdf (Page 3)
Computing,Textbook Exercise,N/A,6,Introduction to Data Types,What are examples of data types in computers?,"whole numbers (integers), words or text (strings), and true/false answers (Booleans)","Computers use these data types to organize, store and handle information.",YEAR 2 LM Computing Section 4-5.pdf (Page 3)
Computing,Textbook Exercise,N/A,7,Introduction to Data Types,What are integers?,whole numbers that do not have any fractions or decimals,"Integers can be positive, negative, or even zero.",YEAR 2 LM Computing Section 4-5.pdf (Page 3)
Computing,Textbook Exercise,N/A,8,Introduction to Data Types,What are floats?,numbers that have a decimal point,Floats are used to represent measurements that require accuracy.,YEAR 2 LM Computing Section 4-5.pdf (Page 3)
